frame,tracker_id,meas_x,meas_y,meas_w,meas_h,smooth_x,smooth_y,smooth_w,smooth_h,ok,reinit_attempted,reinit_success,reinit_failed
88,2,745.0,476.0,51.0,50.0,744.4618606567383,477.57480239868164,50.68955993652344,49.68956756591797,True,False,False,False
89,1,540.0,476.0,173.0,60.0,539.702033996582,476.0391330718994,172.82530212402344,59.95499801635742,True,False,False,False
89,2,746.0,475.0,51.0,50.0,746.8810482025146,476.695161819458,50.7734260559082,49.773433685302734,True,False,False,False
90,1,540.0,476.0,173.0,60.0,540.1641540527344,476.02121353149414,172.87249755859375,59.96715545654297,True,False,False,False
90,2,746.0,473.0,51.0,50.0,747.7309970855713,474.41919708251953,50.83463668823242,49.83464050292969,True,False,False,False
91,1,539.0,476.0,173.0,60.0,539.5476913452148,476.0107955932617,172.9069366455078,59.97602844238281,True,False,False,False
91,2,745.0,473.0,51.0,50.0,746.9580497741699,473.1750888824463,50.879310607910156,49.87931442260742,True,False,False,False
92,1,539.0,476.0,173.0,60.0,539.1794052124023,476.00529861450195,172.9320831298828,59.982505798339844,True,False,False,False
92,2,745.0,471.0,51.0,50.0,746.2353267669678,471.05273818969727,50.91191482543945,49.91191864013672,True,False,False,False
93,1,539.0,477.0,173.0,60.0,538.9902420043945,476.78619956970215,172.95042419433594,59.98723220825195,True,False,False,False
93,2,740.0,468.0,51.0,50.0,741.7631015777588,467.8000259399414,50.93571090698242,49.93571472167969,True,False,False,False
94,1,539.0,477.0,169.0,59.0,537.8879928588867,476.90344047546387,171.88319396972656,59.720523834228516,True,False,False,False
94,2,742.0,464.0,51.0,50.0,741.0841903686523,463.3376979827881,50.95307922363281,49.95308303833008,True,False,False,False
95,1,538.0,477.0,169.0,59.0,536.7361297607422,476.93979263305664,171.10427856445312,59.52587127685547,True,False,False,False
95,2,733.0,462.0,51.0,50.0,733.9363117218018,460.02630615234375,50.965755462646484,49.96575927734375,True,False,False,False
96,1,536.0,475.0,173.0,60.0,535.8733062744141,475.6331024169922,171.61642456054688,59.653961181640625,True,False,False,False
96,2,733.0,461.0,51.0,50.0,730.7300872802734,458.2527599334717,50.975006103515625,49.97500991821289,True,False,False,False
97,1,537.0,476.0,173.0,60.0,536.3820953369141,475.7511558532715,171.99020385742188,59.74744415283203,True,False,False,False
97,2,737.0,469.0,51.0,50.0,732.9789695739746,464.3381595611572,50.98175811767578,49.98176193237305,True,False,False,False
98,1,538.0,476.0,173.0,60.0,537.5532531738281,475.8636169433594,172.26300048828125,59.815673828125,True,False,False,False
98,2,741.0,460.0,51.0,50.0,737.8885536193848,460.81204414367676,50.98668670654297,49.986690521240234,True,False,False,False
99,1,537.0,476.0,173.0,60.0,537.3893051147461,475.94751358032227,172.4621124267578,59.86547088623047,True,False,False,False
99,2,729.0,456.0,51.0,50.0,731.1971187591553,456.0242042541504,50.99028396606445,49.99028778076172,True,False,False,False
100,1,536.0,476.0,173.0,60.0,536.481201171875,475.9998378753662,172.607421875,59.90181350708008,True,False,False,False
